ID,LAT,LON,DEPTH,X,Y,Z,YR,MO,DY,HR,MI,SC,MAG,A,Strike1,Dip1,Rake1,Strike2,Dip2,Rake2,Pazim,Pdip,Tazim,Tdip,Q,Type,Loc
,50.2201,12.4543,7.345,,,,2008,10,28,16,11,,2.2,1,161.87,85.61,-34.41,254.87,55.7,-174.68,157.27,26.91,236.55,-20.14,1,,
,50.2193,12.4544,7.494,,,,2008,10,28,16,22,,2.2,1,164.9,83.77,-29.25,258.38,60.94,-172.86,152.27,24.85,234.9,-15.47,1,,
,50.2205,12.4536,7.519,,,,2008,10,28,23,49,,2.3,1,162.77,67.31,-37.66,269.35,55.69,-152.16,148.18,42.17,231.58,-7.23,1,,
,50.2045,12.4555,8.605,,,,2008,10,29,2,11,,2.1,1,158.53,77.44,-26.93,254.83,63.77,-165.97,156.02,27.8,241.15,-9.14,1,,
,50.2137,12.4579,7.458,,,,2008,10,30,8,19,,2.7,1,160.6,60.92,-33.11,268.18,61.48,-146.42,145.39,42.94,235.72,0.35,1,,
,50.2142,12.458,7.327,,,,2008,10,31,3,17,,2.8,1,261.07,60.39,-143.96,151.3,59.24,-35.1,153.34,45.32,64.05,-0.71,1,,
,50.215,12.4548,7.668,,,,2008,10,31,7,41,,2.1,1,349.24,86.52,27.42,257.44,62.63,176.09,149.9,16.39,233.22,-21.59,1,,
,50.2206,12.4501,8.164,,,,2008,11,17,16,9,,2.6,1,155.08,73.75,-46.69,261.62,45.69,-156.98,342.72,-43.78,235.44,-17.22,1,,
,50.2283,12.4427,8.111,,,,2011,8,24,6,16,,2.38,1,161.73,63.22,-31.72,267.29,62,-149.32,145.9,40.58,235.25,-0.76,1,,
,50.2279,12.4424,8.341,,,,2011,8,24,7,23,,3.13,1,18.86,76.25,42.81,276.45,48.69,161.55,128.21,17.38,203.31,-39.41,1,,
,50.226,12.4438,8.093,,,,2011,8,24,7,26,,2.34,1,168.74,71.74,-39.33,273.14,53,-156.9,145.42,40.33,225.23,-11.77,1,,
,50.2234,12.4466,7.918,,,,2011,8,24,19,50,,2.31,1,267.18,52.57,-147.09,155.71,64.44,-42.36,153.9,47.29,236.07,-7.16,1,,
,50.2288,12.4445,7.881,,,,2011,8,24,21,14,,2.45,1,278.37,57.56,-141.38,165.18,58.21,-39.13,138.54,48.74,228.09,-0.39,1,,
,50.2226,12.4461,8.05,,,,2011,8,25,7,5,,2.45,1,255.79,63.71,-150.82,151.9,64.08,-29.5,156.27,38.48,66.09,0.23,1,,
