ID,LAT,LON,DEPTH,X,Y,Z,YR,MO,DY,HR,MI,SC,MAG,A,Strike1,Dip1,Rake1,Strike2,Dip2,Rake2,Pazim,Pdip,Tazim,Tdip,Q,Type
KP199412140855,45.99885,6.433031,11.532,522091,94644,-11532.0,1994,12,14,8,55,59.6,4.5,1,220,70,130,332,44,29,282,15,173,49,1,OT
KP199501101126,47.734722,7.742726,16.588,622813,287171,-16588.0,1995,1,10,11,26,14.1,2.7,0,336,36,-108,178,56,-77,126,75,259,10,1,NF
KP199506251853,47.59329,8.877809,10.618,708243,272392,-10618.0,1995,6,25,18,53,7.1,3.6,0,167,58,-90,347,32,-90,77,77,257,13,1,NF
KP199509171629,46.791255,7.210103,5.388,582551,182258,-5388.0,1995,9,17,16,29,24.8,3.6,1,175,88,3,85,87,178,310,1,40,4,1,SS
KP199511160557,47.051787,8.789557,0.333,702643,212078,-333.0,1995,11,16,5,57,21.0,4.0,0,16,45,0,286,90,135,341,30,231,30,1,SS
KP199602211857,46.373513,7.574303,6.068,610438,135802,-6068.0,1996,2,21,18,57,28.2,3.2,1,242,87,-178,152,88,-3,107,4,197,1,1,SS
KP199603310607,45.915966,7.470263,-2.303,602453,84930,2303.0,1996,3,31,6,8,1.2,4.2,0,44,38,-137,278,65,-60,231,59,347,15,1,ON
KP199604240936,47.547608,7.604795,12.101,612510,266334,-12101.0,1996,4,24,9,36,56.9,2.8,0,292,55,174,25,85,35,153,20,254,28,1,SS
KP199606150105,47.591998,7.623888,23.375,613935,271273,-23375.0,1996,6,15,1,5,53.7,2.4,0,314,73,165,48,76,17,180,2,271,23,1,SS
KP199606280342,47.75221,8.765765,7.134,699518,289912,-7134.0,1996,6,28,3,43,10.6,3.0,1,289,78,-172,197,82,-12,153,14,244,3,1,SS
KP199607150013,45.935,6.092,3.0,495550,87944,-3000.0,1996,7,15,0,13,30.4,5.1,1,316,70,-10,49,81,-160,274,21,181,7,1,SS
KP199608240238,47.423768,9.039998,24.999,720825,253784,-24999.0,1996,8,24,2,38,22.8,3.9,0,184,42,-63,330,53,-112,183,72,75,6,1,NF
KP199612070534,46.901234,8.423463,0.839,675039,194929,-839.0,1996,12,7,5,34,28.6,2.7,1,172,74,36,70,56,160,297,11,36,37,1,OT
